Defense,Attack,N,Accuracy (%),TPR (%),FPR (%),F1,Avg Time (s)
Vanilla FedAvg,Clean,9,72.0 ± 8.2,0.0 ± 0.0,0.0 ± 0.0,0.000 ± 0.000,5.042 ± 0.633
Vanilla FedAvg,Model Poison.,6,10.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.000 ± 0.000,4.940 ± 0.986
Vanilla FedAvg,Label Flip,6,10.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.000 ± 0.000,4.954 ± 0.937
Vanilla FedAvg,Backdoor,6,81.6 ± 0.7,0.0 ± 0.0,0.0 ± 0.0,0.000 ± 0.000,4.968 ± 1.013
Multi-Krum,Clean,9,71.9 ± 8.3,0.0 ± 0.0,0.0 ± 0.0,0.000 ± 0.000,5.145 ± 0.515
Multi-Krum,Model Poison.,3,32.5 ± 29.3,77.8 ± 8.7,6.0 ± 2.1,0.783 ± 0.080,5.033 ± 1.041
Multi-Krum,Label Flip,3,47.2 ± 25.1,79.2 ± 7.2,6.0 ± 2.1,0.792 ± 0.072,4.986 ± 0.989
Multi-Krum,Backdoor,6,75.1 ± 6.7,58.8 ± 22.8,22.1 ± 17.8,0.611 ± 0.203,4.987 ± 0.857
ProtoGalaxy (ours),Clean,9,71.0 ± 8.6,0.0 ± 0.0,0.0 ± 0.0,0.000 ± 0.000,235.405 ± 123.428
ProtoGalaxy (ours),Model Poison.,6,81.5 ± 0.5,100.0 ± 0.0,0.0 ± 0.0,1.000 ± 0.000,67.378 ± 12.376
ProtoGalaxy (ours),Label Flip,6,81.5 ± 0.6,100.0 ± 0.0,0.0 ± 0.0,1.000 ± 0.000,64.351 ± 13.203
ProtoGalaxy (ours),Backdoor,6,81.4 ± 0.5,100.0 ± 0.0,0.0 ± 0.0,1.000 ± 0.000,64.664 ± 11.498
ProtoGalaxy (ours),Grad. Subst.,3,81.5 ± 0.2,100.0 ± 0.0,0.0 ± 0.0,1.000 ± 0.000,75.178 ± 1.841
ProtoGalaxy (ours),Comp. Agg.,3,81.6 ± 0.3,100.0 ± 0.0,0.0 ± 0.0,1.000 ± 0.000,66.712 ± 3.627
